Filepath,Peaks
A4_DC_2/I5ST6_Clean.txt,"[868, 1627, 2377, 3138, 3897, 4626, 5336, 6054, 6779, 7517, 8287, 9020, 9745, 10468, 11231, 12019, 12784, 13541, 14250, 14922, 15588, 16264, 16960, 17659, 18351, 19037, 19706, 20375, 21093, 21856, 22615, 23352, 24072, 24753, 25403, 26038, 26692, 27336, 28011, 28710, 29431, 30154, 30899, 31622, 32366, 33088, 33792, 34476, 35189, 35891, 36570]"
A4_DC_2/IDGA9A_Clean.txt,"[1554, 3453, 4513, 5607, 6687, 7779, 8858, 9927, 10911, 11884, 12933, 14062, 15220, 16377, 17498, 18534, 19544, 20620, 21771, 22940, 24113, 25271, 26405, 27432, 28349, 29265, 30338, 31520]"
A4_DC_2/XR50E7_Clean.txt,"[1331, 2135, 2944, 3693, 4372, 5043, 5701, 6374, 7055, 7716, 8358, 9005, 9697, 10486, 11269, 11960, 12603, 13248, 13886, 14525, 15154, 15776, 16398, 17049, 17777, 18580, 19316, 20026, 20753, 21491, 22180, 22824, 23479, 24145, 24876, 25627, 26374, 27051, 27747, 28480]"
A4_DC_2/M19ZSJ_NoFilter.txt,"[1158, 1969, 2748, 3472, 4200, 4966, 5000, 5866, 6717, 7543, 8343, 9105, 9911, 10800, 11678, 12568, 13448, 14281, 15062, 15871, 16725, 17608, 18507, 19402, 20285, 21104, 21865, 22646, 23492, 24344, 25234, 26130, 26974, 27760, 28523, 29371, 30260, 31164, 32065, 32967, 33854, 34685, 35473]"
A4_DC_2/A1MJD7_EMG.txt,"[1374, 2177, 4069, 5139, 5874, 6633, 7338, 8178, 8577, 8925, 9206, 9532, 9687, 9985, 10046, 10457, 10692, 11190, 11887, 12562, 13293, 14091, 14799, 15513, 16194, 16933, 17702, 18363, 18736, 18861, 19106, 19459, 19725, 19946, 20138, 20497, 20771, 21222, 21976, 22664, 23405, 23491, 23757, 24027, 24229, 24389, 24656, 25097, 25578, 26237, 26975, 27724, 28462, 29229, 29866, 30517, 31224, 31920, 32513, 33148, 33652, 33849, 34455, 35049, 35664, 36296, 36955, 37566, 38238]"
A4_DC_2/V1QPTY_NoFilter.txt,"[936, 1737, 2452, 3213, 3999, 4746, 5488, 6285, 7040, 7740, 8507, 9335, 10077, 10845, 11665, 12482, 13285, 14045, 14844, 15628, 16363, 17080, 17844, 18628, 19398, 20079, 20776, 21518, 22262, 22944, 23675, 24449, 25237, 25951, 26663, 27398, 28076, 28731, 29404, 30033, 30671]"
A4_DC_2/V3QPTY_EMG.txt,"[402, 1165, 2675, 3330, 4040, 4761, 5453, 6202, 6985, 7733, 8418, 9139, 9896, 10691, 11418, 12085, 12790, 13524, 14274, 14972, 15749, 16562, 17312, 17999, 18675, 19360, 20091, 20840, 21527, 22227, 22949, 23675, 24355, 25097, 25780, 26485, 27196, 27857, 28539, 29199, 29846, 30405, 30977, 31545, 32119, 32712]"
A4_DC_2/U357GH_EMG.txt,"[264, 980, 1790, 2489, 3188, 3867, 4556, 5230, 5934, 6427, 6641, 6865, 7051, 7316, 7679, 8069, 8243, 8368, 8577, 9237, 9855, 10484, 11155, 11890, 12484, 12714, 12830, 13094, 13181, 13344, 13583, 13891, 14222, 14759, 14938, 15175, 15799, 16376, 16994, 17651, 18375, 18940, 19180, 19683, 19905, 20294, 20581, 20753, 20880, 21141, 21651, 21993, 22215, 22802, 22925, 23580, 23739, 23827, 23930, 24096, 24180, 24299, 24377, 24575, 24779, 25133, 25357, 25633, 26032, 26253, 26378, 26935, 27441, 27958, 28498, 29048, 29639, 30222, 30803, 31390, 31971, 32555, 33127, 33697, 34266, 34852]"
A4_DC_2/XR50E7_NoFilter.txt,"[1153, 1939, 2673, 3387, 4094, 4765, 5403, 6025, 6653, 7270, 7887, 8495, 9126, 9802, 10605, 11368, 12088, 12781, 13455, 14094, 14708, 15316, 15918, 16525, 17152, 17792, 18410, 19068, 19755, 20461, 21147, 21788, 22414, 23037, 23654, 24258, 24862, 25449, 26049, 26661, 27298, 27950, 28591, 29244, 29884, 30545]"
A4_DC_2/IM9878_Clean.txt,"[917, 1755, 2597, 3477, 4381, 5246, 6050, 6834, 7612, 8391, 9225, 10140, 11075, 12056, 12999, 13979, 14835, 15635, 16437, 17318, 18200, 18986, 19769, 20598, 21434, 22235, 23069, 23930, 24890, 25786, 26668, 27575]"
A4_DC_2/CR41NG_EMG.txt,"[207, 889, 1981, 3064, 4019, 4686, 9682, 10871, 13005]"
A4_DC_2/69420_NoFilter.txt,"[169, 1185, 1875, 2573, 3286, 3995, 4692, 5393, 6074, 6746, 7420, 8103, 8802, 9527, 10233, 10942, 11661, 12385, 13088, 13764, 14432, 15109, 15784, 16477, 17175, 17854, 18536, 19223, 19932, 20651, 21370, 22074, 22787, 23500, 24205, 24885, 25567, 26252, 26935, 27622, 28292, 28965, 29651, 30334]"
A4_DC_2/POTATO_EMG.txt,"[617, 1527, 2385, 2992, 3711, 4438, 5213, 5877, 6543, 6899, 7179, 7887, 8556, 9230, 9874, 10187, 10512, 11188, 11392, 11832, 12033, 12483, 13152, 13863, 14517, 14855, 15184, 15769, 16355, 16947, 17567, 18245, 18920, 19229, 19552, 20167, 20794, 21476, 22262, 23025, 23746, 24073, 24310, 24664, 24941, 25024, 25343, 25579, 26194, 26862, 27636, 28388]"
A4_DC_2/POTATO_NoFilter.txt,"[1020, 1843, 2657, 3382, 4068, 4817, 5779, 6726, 7647, 8487, 9212, 9952, 10738, 11588, 12435, 13179, 13943, 14728, 15546, 16281, 16970, 17726, 18572, 19463, 20335, 21099, 21844, 22634, 23478, 24281, 25070, 25902, 26744, 27562, 28334, 29169, 30036, 30919, 31750, 32585]"
A4_DC_2/IM9878_EMG.txt,"[208, 1276, 2190, 3167, 3996, 5598, 6506, 7410, 7621, 8118, 8961, 9749, 10623, 11026, 11202, 11396, 12167, 12976, 13843, 14423, 14707, 14928, 15494, 16279, 17023, 17845, 18063, 18655, 18892, 19433, 20197, 21010, 21578, 21839, 22581, 23352, 24112, 24934, 25812, 26067, 26582, 27400, 28182]"
A4_DC_2/XR50E7_EMG.txt,"[430, 1022, 1609, 2207, 2823, 3467, 4118, 5360, 5986, 6581, 7197, 7793, 8398, 9008, 9381, 9595, 10096, 10278, 10869, 11094, 11469, 12081, 12712, 13379, 14086, 14793, 15550, 16274, 16930, 17552, 17859, 18163, 18524, 18765, 19000, 19378, 19696, 19771, 20026, 20670, 21160, 21277, 22013, 22658, 22922, 23441, 24154, 24517, 24769, 25428, 26084, 26730, 27350, 27968, 28581, 29210]"
A4_DC_2/ASJFJR_Clean.txt,"[1172, 2173, 3203, 4239, 5177, 5478, 6058, 6357, 6979, 7275, 7958, 8259, 8875, 9175, 9805, 10098, 10782, 11082, 11769, 12065, 12676, 12975, 13552, 13851, 14515, 14817, 15409, 15705, 16321, 16613, 17316, 17615, 18231, 18526, 19120, 19417, 20065, 20369, 21034, 21336, 21878, 22172, 22727, 23026, 23601, 23902, 24530, 24829]"
A4_DC_2/ME18T9_NoFilter.txt,"[1163, 2114, 3050, 4029, 5096, 6139, 7162, 8185, 9205, 10190, 11175, 12117, 13057, 14058, 15032, 15993, 16955, 17983, 18970, 19996, 21024, 22065, 23007, 23940, 24928, 25958, 26927, 27931, 28918, 29871]"
A4_DC_2/8752D3_Clean.txt,"[643, 1322, 2022, 2729, 3464, 4196, 4921, 5660, 6412, 7152, 7893, 8609, 9311, 10000, 10680, 11348, 12027, 12705, 13387, 14125, 14915, 15739, 16560, 17341, 18088, 18821, 19556, 20289, 21020, 21747, 22455, 23145, 23840, 24531, 25255, 26000, 26740, 27502, 28285]"
A4_DC_2/5F3D6G_EMG.txt,"[828, 1516, 3035, 3735, 4465, 5262, 6115, 6316, 6444, 6680, 6799, 7760, 8489, 9228, 10021, 10332, 10754, 11421, 12061, 12688, 13329, 13989, 14532, 14928, 15372, 16055, 16756, 17453, 18219, 18449, 18555, 18647, 18875, 19081, 19746, 20454, 21169, 21903, 22750, 23121, 23407, 24131, 24836, 25545, 26271, 26463, 26552, 26671, 27007, 27721, 28393, 29176, 29616, 29850, 30481, 31141, 31805]"
A4_DC_2/LM5SAG_NoFilter.txt,"[827, 1400, 1969, 2520, 3072, 3625, 4184, 5266, 5821, 6377, 6936, 7484, 8039, 8603, 9179, 9754, 10316, 10885, 11463, 12039, 12605, 13175, 13754, 14332, 14900, 15458, 16026, 16608, 17190, 17754, 18330, 18909, 19497, 20068, 20632, 21202, 21796, 22401, 23009, 23612, 24226, 24852, 25475, 26078, 26675, 27286, 27896, 28501, 29092, 29702, 30311, 30905]"
A4_DC_2/LM5SAG_EMG.txt,"[800, 1369, 2507, 3083, 3645, 4214, 4789, 5397, 6042, 6554, 6615, 7151, 7736, 8341, 8939, 9541, 10126, 10467, 10713, 11281, 11865, 12414, 12978, 13566, 14162, 14750, 15338, 15945, 16163, 16270, 16558, 17139, 17725, 18316, 18907, 19478, 20061, 20701, 20833, 21234, 21799, 22370, 22936, 23496, 24059, 24646, 25228, 25799, 26391, 26967, 27536, 28102, 28698, 29290, 29874, 30454, 31020]"
A4_DC_2/MRZQQR_EMG.txt,"[429, 1135, 1828, 3942, 4636, 5294, 5377, 5506, 6072, 6780, 7493, 8181, 8676, 8863, 9546, 10215, 10880, 11621, 12204, 12821, 13461, 14107, 14761, 15156, 15428, 16070, 16720, 17384, 18056, 18751, 19415, 20144, 20817, 21488, 22156, 22830, 23131, 23503, 23675, 24164, 24789, 25413, 26052, 26707, 27385, 27596, 28046, 28730, 29361, 29995, 30631, 31270]"
A4_DC_2/POTATO_Clean.txt,"[524, 1182, 1847, 2609, 3593, 4509, 5311, 6100, 7024, 7953, 8825, 9598, 10383, 11272, 12147, 12894, 13687, 14505, 15308, 16015, 16775, 17619, 18480, 19220, 20043, 20930, 21754, 22471, 23261, 24147, 24960, 25721, 26571, 27412, 28143]"
A4_DC_2/CR41NG_NoFilter.txt,"[956, 2034, 2598, 3194, 3810, 4417, 4987, 5060, 5674, 6337, 7000, 7571, 8179, 8818, 9415, 10029, 10654, 11215, 11808, 12390, 12981, 13563, 14156, 14742, 15315, 15943, 16565, 17210, 17506, 17863, 18486, 19123, 19736, 20312, 20963, 21559, 22121, 22714, 23315, 23891, 24466, 25082, 25637, 26197, 26775, 27367, 27968, 28567, 29164, 29752, 30333, 30960]"
A4_DC_2/I5ST6_EMG.txt,"[289, 913, 1540, 2214, 2880, 3568, 4308, 5071, 5736, 6415, 7066, 7718, 8385, 9031, 9666, 10277, 10897, 11519, 12164, 12548, 12837, 13521, 14208, 14919, 15624, 16300, 16977, 17630, 18274, 18920, 19568, 20182, 20246, 20817, 21428, 22043, 22664, 23291, 23929, 24272, 24585, 25186, 25803, 26436, 27062, 27733, 28291, 28900, 29486, 30076, 30698, 31332, 31926, 32579, 33180, 33776, 34370, 34966, 35241, 35606, 36165, 36750, 37341, 37930, 38536, 38747, 39096, 39307, 39410, 39747, 40356, 40997]"
A4_DC_2/LWJ3G7_NoFilter.txt,"[740, 1305, 2285, 3226, 4153, 5073, 5984, 6870, 7723, 8569, 9473, 10610, 11837, 13042, 14233, 15458, 16641, 17766, 18848, 19886, 20915, 21951, 22971, 23946, 24931, 25885, 26888, 27950, 29037, 30116, 31192, 32268, 33375, 34486, 35549, 36600, 36888]"
A4_DC_2/C5N560_EMG.txt,"[925, 1615, 2324, 2999, 3665, 4308, 4925, 5557, 6163, 6767, 7382, 7994, 8583, 9204, 9474, 9853, 10438, 11064, 11704, 12412, 13132, 13817, 14524, 15235, 15909, 16607, 17305, 18005, 18664, 19342, 20005, 20639, 21282, 21653, 21930, 22575, 23219, 23878, 24521, 24826, 25214, 25892, 26578, 27253, 27649, 27937, 28319, 28590, 29063, 29251, 29893, 30517, 31186, 31436, 31787]"
A4_DC_2/A37I7U_NoFilter.txt,"[626, 1295, 1954, 2593, 3226, 3853, 4492, 5143, 5792, 6468, 7163, 7876, 8543, 9234, 9918, 10598, 11245, 11894, 12528, 13158, 13776, 14372, 14957, 15533, 16110, 16688, 17298, 17917, 18576, 19253, 19977, 20673, 21362, 22057, 22748, 23410, 24075, 24742, 25415, 26072, 26759, 27445, 28143, 28828, 29507, 30178, 30853, 31509, 32176, 32826, 33467, 34119]"
A4_DC_2/FWEIFD_NoFilter.txt,"[901, 1661, 2465, 3317, 4127, 4949, 5794, 6609, 7348, 8118, 8915, 9678, 10448, 11256, 12053, 12803, 13570, 14341, 15074, 15816, 16595, 17364, 18131, 18941, 19746, 20498, 21246, 21999, 22711, 23426, 24150, 24926]"
A4_DC_2/69420_Clean.txt,"[350, 1067, 1771, 2489, 3201, 4619, 5319, 6017, 6715, 7413, 8103, 8805, 9512, 10221, 10928, 11637, 12315, 12991, 13663, 14344, 15031, 15744, 16469, 17192, 17915, 18624, 19325, 20035, 20744, 21450, 22143, 22817, 23491, 24165, 24844, 25527, 26197, 26872, 27543, 28226, 28899, 29563, 30228]"
A4_DC_2/C5N560_No_Filter.txt,"[1022, 1731, 2455, 3207, 3975, 4759, 5547, 6281, 6996, 7735, 8495, 9208, 9922, 10677, 11460, 12260, 13057, 13846, 14683, 15516, 16356, 17194, 17947, 18690, 19456, 20222, 20989, 21711, 22458, 23228, 23958, 24667, 25356, 26071, 26831, 27593, 28316, 29045, 29814, 30587, 31342]"
A4_DC_2/integrated_peaks.csv,[]
A4_DC_2/5FD61J_Clean.txt,"[403, 997, 1555, 2169, 2745, 3323, 3892, 4480, 5085, 5693, 6299, 6910, 7500, 8100, 8708, 9320, 9935, 10592, 11273, 11996, 12743, 13443, 14122, 14802, 15468, 16121, 16747, 17368, 17982, 18615, 19269, 19998, 20749, 21467, 22197, 22910, 23598, 24238, 24877, 25500, 26111, 26723, 27348, 28009, 28641, 29297, 29964, 30632, 31319, 32021, 32696, 33308, 33946]"
A4_DC_2/TH781G_EMG.txt,"[832, 1870, 2944, 4007, 4997, 4997, 5940, 6902, 7911, 8895, 9853, 10812, 11817, 12915, 13909, 14914, 15939, 16873, 17776, 18641, 19601, 20529, 21528, 22466, 23389, 24314, 25289, 26228, 27149, 28070, 29025, 29956, 30938, 31885, 32855, 33860, 34857, 35856, 36764, 37648, 38534, 39452, 40447, 41438]"
A4_DC_2/CNVKEW_EMG.txt,"[185, 1232, 2108, 3844, 4671, 5481, 6298, 6595, 7168, 7743, 8020, 8430, 8776, 9067, 9587, 9871, 10383, 10670, 11189, 11485, 12069, 12366, 12709, 12904, 13187, 13383, 13730, 14009, 14648, 14937, 15518, 15811, 16372, 16649, 17245, 17396, 17651, 17964, 18249, 18720, 19003, 19493, 19780, 20242, 20540, 21027, 21351, 21880, 22146, 22407, 22630, 22841, 23363, 23654, 24203, 24491]"
A4_DC_2/V1QPTY_Clean.txt,"[461, 1109, 1783, 2489, 3243, 3990, 4692, 5455, 6200, 6915, 7649, 8395, 9085, 9799, 10539, 11234, 11946, 12674, 13417, 14189, 14907, 15565, 16229, 16915, 17510, 18186, 18903, 19641, 20353, 21008, 21673, 22350, 22960, 23614, 24274, 24901, 25578, 26321, 27082, 27717, 28410, 29171, 29910, 30607]"
A4_DC_2/ME18T9_EMG.txt,"[732, 1722, 2749, 3709, 4649, 5565, 6496, 7406, 8280, 9087, 9952, 10838, 11705, 12565, 13415, 14244, 15121, 16065, 17027, 17910, 18835, 19738, 20667, 21650, 22587, 23462, 24385, 25256, 26130, 26999, 27782, 28607, 29478]"
A4_DC_2/53DHIY_NoFilter.txt,"[668, 1446, 2214, 3723, 4466, 5203, 5929, 6656, 7391, 8103, 8794, 9496, 10186, 10888, 11599, 12286, 12963, 13628, 14293, 14964, 15646, 16332, 17014, 17692, 18361, 19025, 19693, 20357, 21029, 21694, 22357, 23019, 23679, 24351, 25004, 25663, 26311, 26960, 27614, 28278, 28955, 29635, 30325, 31010, 31700, 32371, 33041, 33707, 34373, 35052]"
A4_DC_2/5F3D6G_Clean.txt,"[192, 776, 1590, 2439, 3325, 4224, 5070, 5920, 6770, 7632, 8486, 9297, 10106, 10958, 11720, 12522, 13377, 14276, 15201, 16127, 17019, 17866, 18635, 19396, 20162, 20946, 21739, 22511, 23313, 24142, 24993, 25791, 26616, 27419, 28191, 28996, 29848, 30663]"
A4_DC_2/LM5SAG_Clean.txt,"[730, 1827, 2411, 2986, 3557, 4120, 4682, 5254, 5824, 6397, 6961, 7526, 8106, 8683, 9267, 9840, 10408, 10986, 11565, 12147, 12722, 13288, 13848, 14412, 14977, 15546, 16104, 16657, 17227, 17809, 18387, 18954, 19525, 20102, 20681, 21261, 21826, 22397, 22975, 23561, 24146, 24720, 25302, 25896, 26485, 27060, 27638, 28228, 28819, 29405, 29973, 30535]"
