Time	Sig
0	-2.50948
0.001	-2.5093
0.002	-2.50793
0.003	-2.50559
0.004	-2.50257
0.005	-2.49916
0.006	-2.49564
0.007	-2.49225
0.008	-2.48921
0.009	-2.48664
0.01	-2.48461
0.011	-2.4831
0.012	-2.48202
0.013	-2.48121
0.014	-2.48046
0.015	-2.47958
0.016	-2.47841
0.017	-2.47689
0.018	-2.47503
0.019	-2.47292
0.02	-2.47072
0.021	-2.46864
0.022	-2.46686
0.023	-2.46556
0.024	-2.46486
0.025	-2.46485
0.026	-2.46553
0.027	-2.46683
0.028	-2.46859
0.029	-2.47059
0.03	-2.47259
0.031	-2.47436
0.032	-2.4757
0.033	-2.47648
0.034	-2.47666
0.035	-2.47631
0.036	-2.47556
0.037	-2.47462
0.038	-2.47372
0.039	-2.47306
0.04	-2.47287
0.041	-2.4733
0.042	-2.47443
0.043	-2.47626
0.044	-2.47871
0.045	-2.4816
0.046	-2.4847
0.047	-2.48773
0.048	-2.49042
0.049	-2.49255
0.05	-2.49397
0.051	-2.49461
0.052	-2.49452
0.053	-2.49383
0.054	-2.49272
0.055	-2.49142
0.056	-2.49013
0.057	-2.48903
0.058	-2.48828
0.059	-2.48796
0.06	-2.48807
0.061	-2.48858
0.062	-2.48935
0.063	-2.49019
0.064	-2.4909
0.065	-2.49126
0.066	-2.49109
0.067	-2.49029
0.068	-2.48886
0.069	-2.48688
0.07	-2.48451
0.071	-2.48194
0.072	-2.4794
0.073	-2.47709
0.074	-2.47518
0.075	-2.4738
0.076	-2.47301
0.077	-2.4728
0.078	-2.47307
0.079	-2.47367
0.08	-2.47438
0.081	-2.47497
0.082	-2.47524
0.083	-2.47506
0.084	-2.47437
0.085	-2.47317
0.086	-2.47159
0.087	-2.4698
0.088	-2.468
0.089	-2.46642
0.09	-2.46523
0.091	-2.46458
0.092	-2.46457
0.093	-2.46521
0.094	-2.46647
0.095	-2.4682
0.096	-2.47021
0.097	-2.47228
0.098	-2.47416
0.099	-2.47568
0.1	-2.4767
0.101	-2.47717
0.102	-2.47713
0.103	-2.47669
0.104	-2.47601
0.105	-2.47529
0.106	-2.47468
0.107	-2.47438
0.108	-2.47449
0.109	-2.47509
0.11	-2.47617
0.111	-2.47766
0.112	-2.47939
0.113	-2.48116
0.114	-2.48274
0.115	-2.48393
0.116	-2.48456
0.117	-2.48458
0.118	-2.48399
0.119	-2.48291
0.12	-2.48151
0.121	-2.48
0.122	-2.4786
0.123	-2.47753
0.124	-2.47694
0.125	-2.47694
0.126	-2.47758
0.127	-2.47882
0.128	-2.48054
0.129	-2.48255
0.13	-2.48462
0.131	-2.48646
0.132	-2.48784
0.133	-2.48856
0.134	-2.48854
0.135	-2.48779
0.136	-2.48642
0.137	-2.48458
0.138	-2.48249
0.139	-2.48034
0.14	-2.47834
0.141	-2.47667
0.142	-2.47546
0.143	-2.47477
0.144	-2.47457
0.145	-2.47478
0.146	-2.4752
0.147	-2.47564
0.148	-2.47587
0.149	-2.47575
0.15	-2.47517
0.151	-2.47413
0.152	-2.4727
0.153	-2.47105
0.154	-2.46936
0.155	-2.46782
0.156	-2.46661
0.157	-2.46586
0.158	-2.46565
0.159	-2.46598
0.16	-2.46681
0.161	-2.468
0.162	-2.46934
0.163	-2.47059
0.164	-2.47148
0.165	-2.47176
0.166	-2.47125
0.167	-2.46987
0.168	-2.46764
0.169	-2.46468
0.17	-2.46118
0.171	-2.45738
0.172	-2.45354
0.173	-2.44989
0.174	-2.44664
0.175	-2.44392
0.176	-2.44179
0.177	-2.44025
0.178	-2.43919
0.179	-2.43846
0.18	-2.43781
0.181	-2.43701
0.182	-2.43584
0.183	-2.43413
0.184	-2.43182
0.185	-2.42895
0.186	-2.42563
0.187	-2.42204
0.188	-2.41839
0.189	-2.41489
0.19	-2.41173
0.191	-2.40904
0.192	-2.40688
0.193	-2.40526
0.194	-2.40409
0.195	-2.40322
0.196	-2.40244
0.197	-2.40153
0.198	-2.40025
0.199	-2.39844
0.2	-2.39599
0.201	-2.3929
0.202	-2.38923
0.203	-2.38515
0.204	-2.38085
0.205	-2.37655
0.206	-2.37247
0.207	-2.36879
0.208	-2.36566
0.209	-2.36313
0.21	-2.36122
0.211	-2.35982
0.212	-2.35876
0.213	-2.35781
0.214	-2.35672
0.215	-2.35523
0.216	-2.35316
0.217	-2.35042
0.218	-2.34701
0.219	-2.34301
0.22	-2.33859
0.221	-2.33398
0.222	-2.3294
0.223	-2.32507
0.224	-2.32118
0.225	-2.31786
0.226	-2.31516
0.227	-2.31306
0.228	-2.31145
0.229	-2.31015
0.23	-2.30895
0.231	-2.30759
0.232	-2.30586
0.233	-2.30359
0.234	-2.3007
0.235	-2.29722
0.236	-2.29325
0.237	-2.28895
0.238	-2.28452
0.239	-2.28017
0.24	-2.27613
0.241	-2.27257
0.242	-2.26963
0.243	-2.26736
0.244	-2.26574
0.245	-2.26465
0.246	-2.26394
0.247	-2.26339
0.248	-2.2628
0.249	-2.26202
0.25	-2.26096
0.251	-2.25959
0.252	-2.25796
0.253	-2.25618
0.254	-2.25441
0.255	-2.25281
0.256	-2.25156
0.257	-2.2508
0.258	-2.25063
0.259	-2.2511
0.26	-2.25218
0.261	-2.2538
0.262	-2.2558
0.263	-2.25798
0.264	-2.26012
0.265	-2.26201
0.266	-2.26348
0.267	-2.26443
0.268	-2.26488
0.269	-2.2649
0.27	-2.26466
0.271	-2.26437
0.272	-2.26423
0.273	-2.26444
0.274	-2.26518
0.275	-2.26656
0.276	-2.26865
0.277	-2.27143
0.278	-2.27478
0.279	-2.27854
0.28	-2.28247
0.281	-2.28631
0.282	-2.28986
0.283	-2.29292
0.284	-2.2954
0.285	-2.29731
0.286	-2.29872
0.287	-2.29978
0.288	-2.3007
0.289	-2.30168
0.29	-2.30292
0.291	-2.30457
0.292	-2.30674
0.293	-2.30945
0.294	-2.31267
0.295	-2.31625
0.296	-2.31999
0.297	-2.32369
0.298	-2.32713
0.299	-2.33013
0.3	-2.33259
0.301	-2.3345
0.302	-2.33593
0.303	-2.33703
0.304	-2.33797
0.305	-2.33896
0.306	-2.34018
0.307	-2.34176
0.308	-2.34377
0.309	-2.34623
0.31	-2.34908
0.311	-2.35221
0.312	-2.35545
0.313	-2.35855
0.314	-2.3613
0.315	-2.36347
0.316	-2.36489
0.317	-2.3655
0.318	-2.3653
0.319	-2.36441
0.32	-2.36301
0.321	-2.36133
0.322	-2.3596
0.323	-2.35804
0.324	-2.35684
0.325	-2.35613
0.326	-2.35598
0.327	-2.35637
0.328	-2.35724
0.329	-2.35844
0.33	-2.35979
0.331	-2.3611
0.332	-2.36219
0.333	-2.36292
0.334	-2.36323
0.335	-2.3631
0.336	-2.36258
0.337	-2.36177
0.338	-2.36079
0.339	-2.35976
0.34	-2.35876
0.341	-2.35782
0.342	-2.35689
0.343	-2.35584
0.344	-2.35445
0.345	-2.35241
0.346	-2.34935
0.347	-2.34484
0.348	-2.33848
0.349	-2.32989
0.35	-2.31878
0.351	-2.30493
0.352	-2.28819
0.353	-2.26852
0.354	-2.24593
0.355	-2.22046
0.356	-2.19217
0.357	-2.16107
0.358	-2.12717
0.359	-2.09049
0.36	-2.051
0.361	-2.0087
0.362	-1.96356
0.363	-1.91559
0.364	-1.86482
0.365	-1.81138
0.366	-1.75553
0.367	-1.69767
0.368	-1.63833
0.369	-1.57819
0.37	-1.51806
0.371	-1.4588
0.372	-1.40133
0.373	-1.34653
0.374	-1.29527
0.375	-1.24834
0.376	-1.20644
0.377	-1.17016
0.378	-1.13994
0.379	-1.11609
0.38	-1.09876
0.381	-1.08799
0.382	-1.08375
0.383	-1.08595
0.384	-1.09448
0.385	-1.10925
0.386	-1.13016
0.387	-1.15708
0.388	-1.18986
0.389	-1.22823
0.39	-1.27186
0.391	-1.32031
0.392	-1.37301
0.393	-1.42932
0.394	-1.48848
0.395	-1.54966
0.396	-1.61195
0.397	-1.67444
0.398	-1.73627
0.399	-1.79665
0.4	-1.85494
0.401	-1.91063
0.402	-1.9634
0.403	-2.01304
0.404	-2.05948
0.405	-2.10274
0.406	-2.14288
0.407	-2.18001
0.408	-2.2142
0.409	-2.24557
0.41	-2.27417
0.411	-2.30004
0.412	-2.32313
0.413	-2.34341
0.414	-2.36079
0.415	-2.37525
0.416	-2.3868
0.417	-2.39555
0.418	-2.4017
0.419	-2.40554
0.42	-2.40742
0.421	-2.40773
0.422	-2.40685
0.423	-2.40516
0.424	-2.40298
0.425	-2.40058
0.426	-2.39813
0.427	-2.39574
0.428	-2.39341
0.429	-2.39105
0.43	-2.38855
0.431	-2.38576
0.432	-2.38254
0.433	-2.37881
0.434	-2.37458
0.435	-2.36991
0.436	-2.36495
0.437	-2.35993
0.438	-2.35507
0.439	-2.35059
0.44	-2.34671
0.441	-2.34359
0.442	-2.3413
0.443	-2.33985
0.444	-2.33912
0.445	-2.33897
0.446	-2.33916
0.447	-2.33944
0.448	-2.33957
0.449	-2.33933
0.45	-2.33859
0.451	-2.33729
0.452	-2.33548
