Sample_Index	Signal_[mV]
0	-250.066
1	-248.739
2	-247.554
3	-246.5
4	-245.562
5	-244.725
6	-243.969
7	-243.271
8	-242.605
9	-241.937
10	-241.231
11	-240.449
12	-239.554
13	-238.526
14	-237.361
15	-236.074
16	-234.69
17	-233.234
18	-231.728
19	-230.191
20	-228.645
21	-227.117
22	-225.637
23	-224.241
24	-222.963
25	-221.817
26	-220.79
27	-219.842
28	-218.924
29	-217.978
30	-216.951
31	-215.798
32	-214.488
33	-212.994
34	-211.302
35	-209.414
36	-207.345
37	-205.123
38	-202.778
39	-200.34
40	-197.839
41	-195.312
42	-192.803
43	-190.363
44	-188.041
45	-185.875
46	-183.879
47	-182.04
48	-180.329
49	-178.709
50	-177.135
51	-175.561
52	-173.947
53	-172.271
54	-170.522
55	-168.702
56	-166.836
57	-164.977
58	-163.194
59	-161.55
60	-160.077
61	-158.771
62	-157.597
63	-156.513
64	-155.49
65	-154.513
66	-153.581
67	-152.696
68	-151.853
69	-151.048
70	-150.276
71	-149.533
72	-148.812
73	-148.087
74	-147.309
75	-146.415
76	-145.342
77	-144.032
78	-142.443
79	-140.548
80	-138.337
81	-135.814
82	-132.99
83	-129.885
84	-126.529
85	-122.963
86	-119.232
87	-115.372
88	-111.412
89	-107.377
90	-103.293
91	-99.1848
92	-95.0727
93	-90.9607
94	-86.8366
95	-82.6784
96	-78.4663
97	-74.1894
98	-69.8484
99	-65.4555
100	-61.0323
101	-56.6013
102	-52.17
103	-47.7265
104	-43.2519
105	-38.7376
106	-34.1923
107	-29.6388
108	-25.1039
109	-20.6108
110	-16.1737
111	-11.7979
112	-7.48085
113	-3.21345
114	1.02056
115	5.24429
116	9.48327
117	13.7565
118	18.0686
119	22.4078
120	26.7529
121	31.0817
122	35.3779
123	39.6268
124	43.8041
125	47.8694
126	51.7764
127	55.4946
128	59.0227
129	62.3835
130	65.602
131	68.6882
132	71.6391
133	74.4527
134	77.1334
135	79.6888
136	82.125
137	84.445
138	86.6472
139	88.7232
140	90.6592
141	92.4433
142	94.0737
143	95.5565
144	96.8964
145	98.0886
146	99.1184
147	99.9678
148	100.624
149	101.084
150	101.352
151	101.433
152	101.321
153	101.004
154	100.465
155	99.6897
156	98.6654
157	97.3812
158	95.8335
159	94.0298
160	91.984
161	89.7075
162	87.2021
163	84.458
164	81.4596
165	78.1963
166	74.6692
167	70.8909
168	66.88
169	62.6562
170	58.2368
171	53.6357
172	48.8651
173	43.9344
174	38.8442
175	33.5815
176	28.1205
177	22.4273
178	16.4663
179	10.2113
180	3.6529
181	-3.19789
182	-10.3101
183	-17.6365
184	-25.1204
185	-32.7012
186	-40.3182
187	-47.9151
188	-55.4445
189	-62.8724
190	-70.1762
191	-77.3369
192	-84.3317
193	-91.1351
194	-97.7223
195	-104.074
196	-110.179
197	-116.045
198	-121.689
199	-127.139
200	-132.426
201	-137.588
202	-142.67
203	-147.714
204	-152.752
205	-157.794
206	-162.829
207	-167.829
208	-172.757
209	-177.577
210	-182.249
211	-186.733
212	-190.989
213	-194.974
214	-198.652
215	-201.994
216	-204.988
217	-207.636
218	-209.957
219	-211.98
220	-213.739
221	-215.266
222	-216.587
223	-217.732
224	-218.732
225	-219.626
226	-220.452
227	-221.254
228	-222.072
229	-222.944
230	-223.894
231	-224.93
232	-226.045
233	-227.222
234	-228.435
235	-229.65
236	-230.829
237	-231.923
238	-232.881
239	-233.662
240	-234.253
241	-234.666
242	-234.932
243	-235.081
244	-235.144
245	-235.143
246	-235.091
247	-234.994
248	-234.863
249	-234.717
250	-234.577
251	-234.463
252	-234.4
253	-234.418
254	-234.554
255	-234.845
256	-235.319
257	-235.997
258	-236.885
259	-237.976
260	-239.251
261	-240.681
262	-242.235
263	-243.887
264	-245.62
265	-247.419
266	-249.261
267	-251.108
268	-252.908
269	-254.616
270	-256.191
271	-257.594
272	-258.78
273	-259.707
274	-260.338
275	-260.656
276	-260.663
277	-260.373
278	-259.806
279	-258.984
280	-257.935
281	-256.694
282	-255.294
283	-253.771
284	-252.157
285	-250.491
286	-248.814
287	-247.174
288	-245.622
289	-244.192
290	-242.9
291	-241.738
292	-240.674
293	-239.67
294	-238.692
295	-237.714
296	-236.72
297	-235.701
298	-234.649
299	-233.564
300	-232.452
301	-231.315
302	-230.151
303	-228.955
304	-227.733
305	-226.502
306	-225.283
307	-224.102
308	-222.988
309	-221.975
310	-221.095
311	-220.381
312	-219.858
313	-219.537
314	-219.403
315	-219.432
316	-219.596
317	-219.881
318	-220.28
319	-220.797
320	-221.431
321	-222.175
322	-223.012
323	-223.906
324	-224.804
325	-225.643
326	-226.352
327	-226.854
328	-227.078
329	-226.967
330	-226.497
331	-225.667
332	-224.502
333	-223.035
334	-221.313
335	-219.391
336	-217.338
337	-215.228
338	-213.139
339	-211.141
340	-209.302
341	-207.673
342	-206.286
343	-205.161
344	-204.309
345	-203.732
346	-203.418
347	-203.335
348	-203.447
349	-203.718
350	-204.116
351	-204.605
352	-205.145
353	-205.69
354	-206.199
355	-206.635
356	-206.969
357	-207.174
358	-207.232
359	-207.141
360	-206.919
361	-206.601
362	-206.229
363	-205.855
364	-205.527
365	-205.29
366	-205.182
367	-205.229
368	-205.439
369	-205.792
370	-206.245
371	-206.737
372	-207.201
373	-207.576
374	-207.811
375	-207.868
376	-207.727
377	-207.38
378	-206.84
379	-206.145
380	-205.348
381	-204.512
382	-203.699
383	-202.968
384	-202.362
385	-201.908
386	-201.616
387	-201.48
388	-201.482
389	-201.589
390	-201.767
391	-201.991
392	-202.254
393	-202.561
394	-202.927
395	-203.368
396	-203.894
397	-204.505
398	-205.189
399	-205.924
400	-206.677
401	-207.405
402	-208.07
403	-208.641
404	-209.104
405	-209.466
406	-209.745
407	-209.962
408	-210.132
409	-210.261
410	-210.352
411	-210.409
412	-210.438
413	-210.452
414	-210.468
415	-210.501
416	-210.572
417	-210.701
418	-210.905
419	-211.193
420	-211.563
421	-212.006
422	-212.506
423	-213.038
424	-213.56
425	-214.022
426	-214.375
427	-214.586
428	-214.641
429	-214.552
430	-214.351
431	-214.086
432	-213.803
433	-213.535
434	-213.294
435	-213.069
436	-212.838
437	-212.563
438	-212.207
439	-211.727
440	-211.085
441	-210.256
442	-209.233
443	-208.027
444	-206.652
445	-205.131
446	-203.493
447	-201.783
448	-200.063
449	-198.403
450	-196.876
451	-195.543
452	-194.447
453	-193.609
454	-193.033
455	-192.713
456	-192.645
457	-192.822
458	-193.226
459	-193.828
460	-194.593
461	-195.487
462	-196.481
463	-197.539
464	-198.62
465	-199.679
466	-200.676
467	-201.581
468	-202.372
469	-203.033
470	-203.55
471	-203.906
472	-204.084
473	-204.068
474	-203.842
475	-203.39
476	-202.701
477	-201.77
478	-200.605
479	-199.23
480	-197.683
481	-196.014
482	-194.286
483	-192.573
484	-190.95
485	-189.487
486	-188.252
487	-187.32
488	-186.763
489	-186.641
490	-186.977
491	-187.755
492	-188.924
493	-190.41
494	-192.126
495	-193.98
496	-195.871
497	-197.7
498	-199.372
499	-200.805
500	-201.929
501	-202.698
502	-203.096
503	-203.141
504	-202.877
505	-202.365
506	-201.668
507	-200.84
508	-199.92
509	-198.938
510	-197.925
511	-196.916
512	-195.953
513	-195.068
514	-194.282
515	-193.602
516	-193.023
517	-192.533
518	-192.121
519	-191.78
520	-191.503
521	-191.291
522	-191.151
523	-191.092
524	-191.117
525	-191.204
526	-191.303
527	-191.344
528	-191.26
529	-190.996
530	-190.523
531	-189.837
532	-188.948
533	-187.882
534	-186.674
535	-185.359
536	-183.97
537	-182.54
538	-181.098
539	-179.67
540	-178.265
541	-176.879
542	-175.498
543	-174.104
544	-172.674
545	-171.19
546	-169.655
547	-168.097
