Sample_Index	Signal_[mV]
0	-983.367
1	-982.341
2	-981.234
3	-980.041
4	-978.757
5	-977.376
6	-975.897
7	-974.326
8	-972.675
9	-970.962
10	-969.209
11	-967.443
12	-965.686
13	-963.95
14	-962.238
15	-960.542
16	-958.859
17	-957.202
18	-955.602
19	-954.105
20	-952.766
21	-951.645
22	-950.799
23	-950.275
24	-950.102
25	-950.285
26	-950.81
27	-951.647
28	-952.765
29	-954.139
30	-955.75
31	-957.585
32	-959.632
33	-961.881
34	-964.323
35	-966.948
36	-969.741
37	-972.675
38	-975.716
39	-978.826
40	-981.967
41	-985.107
42	-988.219
43	-991.276
44	-994.245
45	-997.095
46	-999.8
47	-1002.34
48	-1004.7
49	-1006.85
50	-1008.78
51	-1010.48
52	-1011.97
53	-1013.24
54	-1014.34
55	-1015.28
56	-1016.1
57	-1016.83
58	-1017.51
59	-1018.16
60	-1018.8
61	-1019.43
62	-1020.04
63	-1020.61
64	-1021.09
65	-1021.44
66	-1021.66
67	-1021.74
68	-1021.69
69	-1021.55
70	-1021.32
71	-1021.03
72	-1020.68
73	-1020.3
74	-1019.88
75	-1019.45
76	-1019
77	-1018.54
78	-1018.08
79	-1017.61
80	-1017.14
81	-1016.67
82	-1016.2
83	-1015.72
84	-1015.26
85	-1014.83
86	-1014.44
87	-1014.11
88	-1013.86
89	-1013.7
90	-1013.61
91	-1013.57
92	-1013.55
93	-1013.54
94	-1013.51
95	-1013.44
96	-1013.3
97	-1013.08
98	-1012.73
99	-1012.25
100	-1011.64
101	-1010.91
102	-1010.08
103	-1009.16
104	-1008.17
105	-1007.13
106	-1006.07
107	-1005
108	-1003.93
109	-1002.89
110	-1001.87
111	-1000.86
112	-999.87
113	-998.867
114	-997.827
115	-996.697
116	-995.395
117	-993.807
118	-991.798
119	-989.217
120	-985.906
121	-981.698
122	-976.433
123	-969.959
124	-962.147
125	-952.905
126	-942.179
127	-929.958
128	-916.272
129	-901.184
130	-884.789
131	-867.204
132	-848.566
133	-829.033
134	-808.783
135	-788.024
136	-766.989
137	-745.93
138	-725.115
139	-704.824
140	-685.34
141	-666.952
142	-649.953
143	-634.628
144	-621.246
145	-610.043
146	-601.22
147	-594.934
148	-591.304
150	-592.297
151	-596.965
152	-604.371
153	-614.434
154	-627.033
155	-642.019
156	-659.207
157	-678.372
158	-699.257
159	-721.575
160	-745.026
161	-769.301
162	-794.089
163	-819.076
164	-843.958
165	-868.437
166	-892.234
167	-915.09
168	-936.774
169	-957.091
170	-975.885
171	-993.034
172	-1008.45
173	-1022.05
174	-1033.83
175	-1043.77
176	-1051.9
177	-1058.28
178	-1062.99
179	-1066.13
180	-1067.79
181	-1068.13
182	-1067.29
183	-1065.41
184	-1062.66
185	-1059.14
186	-1054.98
187	-1050.29
188	-1045.16
189	-1039.69
190	-1033.93
191	-1027.96
192	-1021.85
193	-1015.67
194	-1009.47
195	-1003.34
196	-997.317
197	-991.452
198	-985.782
199	-980.332
200	-975.12
201	-970.144
202	-965.39
203	-960.83
204	-956.438
205	-952.195
206	-948.089
207	-944.112
208	-940.251
209	-936.492
210	-932.826
211	-929.257
212	-925.792
213	-922.445
214	-919.228
215	-916.151
216	-913.213
217	-910.412
218	-907.743
219	-905.214
220	-902.837
221	-900.63
222	-898.613
223	-896.799
224	-895.196
225	-893.8
226	-892.597
227	-891.563
228	-890.668
229	-889.876
230	-889.16
231	-888.499
232	-887.882
233	-887.302
234	-886.754
235	-886.234
236	-885.744
237	-885.278
238	-884.817
239	-884.339
240	-883.825
241	-883.271
242	-882.685
243	-882.079
244	-881.461
245	-880.83
246	-880.177
247	-879.49
248	-878.749
249	-877.938
250	-877.042
251	-876.056
252	-874.986
253	-873.846
254	-872.654
255	-871.429
256	-870.188
257	-868.946
258	-867.713
259	-866.501
260	-865.319
261	-864.175
262	-863.072
263	-862.002
264	-860.945
265	-859.878
266	-858.782
267	-857.651
268	-856.49
269	-855.308
270	-854.106
271	-852.885
272	-851.634
273	-850.338
274	-848.979
275	-847.542
276	-846.028
277	-844.445
278	-842.805
279	-841.112
280	-839.373
281	-837.598
282	-835.8
283	-833.991
284	-832.168
285	-830.32
286	-828.426
287	-826.463
288	-824.408
289	-822.24
290	-819.935
291	-817.471
292	-814.825
293	-811.98
294	-808.931
295	-805.687
296	-802.268
297	-798.704
298	-795.025
299	-791.258
300	-787.43
301	-783.572
302	-779.715
303	-775.902
304	-772.175
305	-768.568
306	-765.105
307	-761.793
308	-758.632
309	-755.612
310	-752.711
311	-749.9
312	-747.143
313	-744.409
314	-741.664
315	-738.872
316	-735.992
317	-732.979
318	-729.792
319	-726.396
320	-722.774
321	-718.93
322	-714.891
323	-710.696
324	-706.392
325	-702.018
326	-697.6
327	-693.146
328	-688.66
329	-684.139
330	-679.574
331	-674.949
332	-670.242
333	-665.439
334	-660.546
335	-655.58
336	-650.565
337	-645.522
338	-640.464
339	-635.398
340	-630.329
341	-625.257
342	-620.186
343	-615.125
344	-610.095
345	-605.124
346	-600.241
347	-595.473
348	-590.837
349	-586.346
350	-582.008
351	-577.834
352	-573.828
353	-569.995
354	-566.336
355	-562.858
356	-559.575
357	-556.513
358	-553.696
359	-551.148
360	-548.882
361	-546.907
362	-545.23
363	-543.863
364	-542.819
365	-542.108
366	-541.732
367	-541.688
368	-541.966
369	-542.558
370	-543.457
371	-544.652
372	-546.13
373	-547.873
374	-549.866
375	-552.102
376	-554.574
377	-557.276
378	-560.199
379	-563.334
380	-566.672
381	-570.203
382	-573.922
383	-577.826
384	-581.923
385	-586.222
386	-590.745
387	-595.523
388	-600.598
389	-606.002
390	-611.758
391	-617.877
392	-624.355
393	-631.179
394	-638.324
395	-645.753
396	-653.42
397	-661.273
398	-669.249
399	-677.289
400	-685.334
401	-693.343
402	-701.286
403	-709.143
404	-716.895
405	-724.511
406	-731.949
407	-739.164
408	-746.119
409	-752.785
410	-759.152
411	-765.227
412	-771.029
413	-776.58
414	-781.897
415	-786.995
416	-791.888
417	-796.587
418	-801.102
419	-805.45
420	-809.659
421	-813.764
422	-817.799
423	-821.792
424	-825.769
425	-829.746
426	-833.737
427	-837.74
428	-841.742
429	-845.722
430	-849.656
431	-853.535
432	-857.365
433	-861.156
434	-864.921
435	-868.653
436	-872.332
437	-875.927
438	-879.406
439	-882.743
440	-885.926
441	-888.949
442	-891.817
443	-894.541
444	-897.131
445	-899.592
446	-901.923
447	-904.12
448	-906.176
449	-908.086
450	-909.842
451	-911.431
452	-912.841
453	-914.054
454	-915.051
455	-915.812
456	-916.329
457	-916.605
458	-916.657
459	-916.501
460	-916.159
461	-915.658
462	-915.035
463	-914.33
464	-913.591
465	-912.858
466	-912.162
467	-911.516
468	-910.92
469	-910.369
470	-909.862
471	-909.395
472	-908.964
473	-908.562
474	-908.182
475	-907.819
476	-907.472
477	-907.147
478	-906.852
479	-906.595
480	-906.381
481	-906.215
482	-906.096
483	-906.021
484	-905.985
485	-905.991
486	-906.052
487	-906.188
488	-906.417
489	-906.741
490	-907.139
491	-907.565
492	-907.963
493	-908.275
494	-908.451
495	-908.447
496	-908.234
497	-907.801
498	-907.148
499	-906.281
500	-905.208
501	-903.949
502	-902.533
503	-900.997
504	-899.374
505	-897.691
506	-895.973
507	-894.249
508	-892.554
509	-890.923
510	-889.393
511	-887.988
512	-886.721
513	-885.594
514	-884.595
515	-883.708
516	-882.919
517	-882.22
518	-881.6
519	-881.05
520	-880.552
521	-880.085
522	-879.623
523	-879.147
524	-878.644
525	-878.107
526	-877.535
527	-876.929
528	-876.283
529	-875.594
530	-874.856
531	-874.076
532	-873.268
533	-872.456
534	-871.668
535	-870.925
536	-870.236
537	-869.6
538	-869.01
539	-868.464
540	-867.959
541	-867.493
542	-867.063
543	-866.668
544	-866.314
545	-866.004
546	-865.744
547	-865.539
548	-865.388
549	-865.288
550	-865.232
551	-865.213
552	-865.225
553	-865.262
554	-865.317
555	-865.382
556	-865.447
557	-865.504
558	-865.544
559	-865.557
560	-865.53
561	-865.442
562	-865.269
563	-864.995
564	-864.613
565	-864.132
566	-863.571
567	-862.956
568	-862.309
569	-861.655
570	-861.012
571	-860.394
572	-859.817
573	-859.295
574	-858.845
575	-858.484
576	-858.224
577	-858.063
578	-857.982
579	-857.95
580	-857.939
581	-857.923
582	-857.884
583	-857.807
584	-857.679
585	-857.488
586	-857.216
587	-856.846
588	-856.361
589	-855.758
590	-855.046
591	-854.239
592	-853.355
593	-852.418
594	-851.456
595	-850.494
596	-849.547
597	-848.62
598	-847.713
599	-846.821
600	-845.939
601	-845.058
602	-844.166
603	-843.252
604	-842.317
605	-841.377
606	-840.455
607	-839.569
608	-838.729
609	-837.949
610	-837.242
611	-836.628
612	-836.124
613	-835.743
614	-835.49
615	-835.364
616	-835.361
617	-835.475
618	-835.7
619	-836.024
620	-836.444
621	-836.96
622	-837.576
623	-838.293
624	-839.111
625	-840.03
626	-841.045
627	-842.148
628	-843.33
629	-844.576
630	-845.876
631	-847.218
632	-848.588
633	-849.975
634	-851.363
635	-852.737
636	-854.085
637	-855.395
638	-856.66
639	-857.87
640	-859.008
641	-860.05
642	-860.971
643	-861.751
644	-862.385
645	-862.872
646	-863.21
647	-863.401
648	-863.451
649	-863.375
650	-863.197
651	-862.943
652	-862.637
653	-862.302
654	-861.957
655	-861.62
656	-861.303
657	-861.018
658	-860.78
659	-860.598
660	-860.473
661	-860.399
662	-860.366
663	-860.354
664	-860.337
665	-860.281
666	-860.153
667	-859.928
668	-859.598
669	-859.174
670	-858.684
671	-858.163
672	-857.643
673	-857.145
674	-856.671
675	-856.206
676	-855.722
677	-855.193
678	-854.598
679	-853.933
680	-853.214
681	-852.475
682	-851.751
683	-851.071
684	-850.449
685	-849.888
686	-849.384
687	-848.927
688	-848.509
689	-848.12
690	-847.752
691	-847.397
692	-847.052
693	-846.715
694	-846.381
695	-846.036
696	-845.667
697	-845.26
698	-844.804
699	-844.295
700	-843.734
701	-843.126
702	-842.484
703	-841.824
704	-841.172
705	-840.561
706	-840.032
707	-839.628
708	-839.393
709	-839.361
710	-839.551
711	-839.962
712	-840.573
713	-841.344
714	-842.222
715	-843.15
716	-844.073
717	-844.947
718	-845.739
719	-846.427
720	-846.997
721	-847.438
722	-847.74
723	-847.891
724	-847.884
725	-847.715
726	-847.384
727	-846.892
728	-846.245
729	-845.457
730	-844.551
731	-843.545
732	-842.453
733	-841.285
734	-840.057
735	-838.789
736	-837.497
737	-836.191
738	-834.872
739	-833.535
740	-832.176
741	-830.795
742	-829.395
743	-827.984
744	-826.575
745	-825.171
746	-823.771
747	-822.36
748	-820.923
749	-819.447
750	-817.928
751	-816.371
752	-814.789
753	-813.204
754	-811.636
755	-810.104
756	-808.617
757	-807.176
758	-805.776
759	-804.41
760	-803.071
761	-801.759
762	-800.475
763	-799.216
764	-797.97
765	-796.728
766	-795.488
767	-794.262
768	-793.067
769	-791.924
770	-790.841
771	-789.813
772	-788.832
773	-787.886
774	-786.97
775	-786.084
776	-785.231
777	-784.406
778	-783.6
779	-782.797
780	-781.984
781	-781.153
782	-780.297
783	-779.409
784	-778.486
785	-777.531
786	-776.564
787	-775.614
788	-774.728
789	-773.96
790	-773.361
791	-772.975
792	-772.843
793	-773.005
794	-773.494
795	-774.329
796	-775.509
797	-777.007
798	-778.779
799	-780.771
800	-782.936
801	-785.237
802	-787.649
803	-790.164
804	-792.779
805	-795.491
806	-798.291
807	-801.164
808	-804.096
809	-807.07
810	-810.06
811	-813.037
812	-815.965
813	-818.812
814	-821.546
815	-824.143
816	-826.592
817	-828.89
818	-831.037
819	-833.03
820	-834.86
821	-836.526
822	-838.032
823	-839.392
824	-840.623
825	-841.741
826	-842.766
827	-843.71
828	-844.58
829	-845.38
830	-846.112
831	-846.782
832	-847.392
833	-847.95
834	-848.458
835	-848.925
836	-849.36
837	-849.774
838	-850.178
839	-850.573
840	-850.952
841	-851.299
842	-851.594
843	-851.807
844	-851.909
845	-851.868
846	-851.659
847	-851.26
848	-850.661
849	-849.868
850	-848.898
851	-847.771
852	-846.506
853	-845.121
854	-843.646
855	-842.118
856	-840.583
857	-839.086
858	-837.663
859	-836.343
860	-835.142
861	-834.061
862	-833.092
863	-832.23
864	-831.473
865	-830.835
866	-830.336
867	-829.993
868	-829.814
869	-829.786
870	-829.885
871	-830.087
872	-830.369
873	-830.711
874	-831.094
875	-831.495
876	-831.881
877	-832.214
878	-832.446
879	-832.517
880	-832.357
881	-831.892
882	-831.042
883	-829.722
884	-827.84
885	-825.287
886	-821.943
887	-817.676
888	-812.358
889	-805.864
890	-798.089
891	-788.953
892	-778.408
893	-766.444
894	-753.092
895	-738.413
896	-722.498
897	-705.46
898	-687.43
899	-668.558
900	-649.014
901	-628.995
902	-608.726
903	-588.461
904	-568.475
905	-549.058
906	-530.506
907	-513.107
908	-497.141
909	-482.873
910	-470.549
911	-460.389
912	-452.58
913	-447.275
914	-444.588
916	-447.29
917	-452.675
918	-460.678
919	-471.204
920	-484.137
921	-499.343
922	-516.665
923	-535.919
924	-556.884
925	-579.301
926	-602.872
927	-627.276
928	-652.176
929	-677.236
930	-702.13
931	-726.543
932	-750.179
933	-772.768
934	-794.073
935	-813.905
936	-832.122
937	-848.63
938	-863.374
939	-876.328
940	-887.485
941	-896.857
942	-904.469
943	-910.37
944	-914.638
945	-917.385
946	-918.746
947	-918.874
948	-917.926
949	-916.055
950	-913.407
951	-910.125
952	-906.344
953	-902.188
954	-897.766
955	-893.166
956	-888.454
957	-883.671
958	-878.846
959	-874.013
960	-869.212
961	-864.49
962	-859.887
963	-855.424
964	-851.1
965	-846.903
966	-842.823
967	-838.863
968	-835.028
969	-831.331
970	-827.788
971	-824.41
972	-821.2
973	-818.157
974	-815.275
975	-812.551
976	-809.978
977	-807.547
978	-805.249
979	-803.076
980	-801.017
981	-799.057
982	-797.177
983	-795.352
984	-793.564
985	-791.8
986	-790.051
987	-788.306
988	-786.552
989	-784.773
990	-782.961
991	-781.109
992	-779.218
993	-777.289
994	-775.317
995	-773.296
996	-771.221
997	-769.098
998	-766.948
999	-764.802
1000	-762.692
1001	-760.653
1002	-758.706
1003	-756.858
1004	-755.095
1005	-753.392
1006	-751.725
1007	-750.075
1008	-748.427
1009	-746.766
1010	-745.075
1011	-743.339
1012	-741.547
1013	-739.692
1014	-737.77
1015	-735.789
1016	-733.764
1017	-731.72
1018	-729.679
1019	-727.655
1020	-725.652
1021	-723.666
1022	-721.697
1023	-719.75
