Sample_Index	Signal_[mV]
0	-3898.3
1	-3886.09
2	-3858.63
3	-3826.58
4	-3808.27
5	-3811.32
6	-3813.61
7	-3791.48
8	-3795.3
9	-3810.56
10	-3796.06
11	-3767.07
12	-3773.17
13	-3777.75
14	-3773.17
15	-3769.36
16	-3767.83
17	-3758.68
18	-3737.32
19	-3734.26
20	-3744.18
21	-3748.76
22	-3752.57
23	-3754.86
24	-3753.34
25	-3726.64
26	-3720.53
27	-3728.16
28	-3715.95
29	-3707.56
30	-3731.98
31	-3761.73
32	-3753.34
33	-3734.26
34	-3677.8
35	-3636.61
36	-3642.71
37	-3666.36
38	-3677.04
39	-3687.73
40	-3684.67
41	-3690.78
42	-3693.83
43	-3681.62
44	-3668.65
45	-3671.7
46	-3674.75
47	-3663.31
48	-3669.41
49	-3683.91
50	-3683.91
51	-3678.57
52	-3686.96
53	-3694.59
54	-3693.83
55	-3690.01
56	-3693.07
57	-3697.64
58	-3699.17
59	-3703.75
60	-3717.48
61	-3731.98
62	-3727.4
63	-3731.98
64	-3757.92
65	-3767.83
66	-3759.44
67	-3770.89
68	-3756.39
69	-3730.45
70	-3736.55
71	-3767.83
72	-3781.57
73	-3773.17
74	-3784.62
75	-3803.69
76	-3819.72
77	-3832.69
78	-3847.94
79	-3850.23
80	-3857.1
81	-3852.52
82	-3842.6
83	-3867.02
84	-3870.07
85	-3846.42
86	-3852.52
87	-3876.17
88	-3886.85
89	-3899.06
90	-3925
91	-3931.1
92	-3930.34
93	-3921.19
94	-3908.98
95	-3914.32
96	-3925
97	-3944.84
98	-3947.89
99	-3944.84
100	-3954.76
101	-3958.57
102	-3969.25
103	-3984.51
104	-3999.01
105	-3996.72
106	-3989.09
107	-3988.33
108	-3992.14
109	-4016.56
110	-4018.84
111	-4000.53
112	-3989.85
113	-4003.59
114	-3996.72
115	-3988.33
116	-3992.9
117	-4010.45
118	-4024.95
119	-4016.56
120	-4021.13
121	-4033.34
122	-4037.16
123	-4036.39
124	-4034.1
125	-4040.97
126	-4047.84
127	-4036.39
128	-4029.53
129	-4034.1
130	-4066.91
131	-4082.93
132	-4069.96
133	-4061.57
134	-4063.86
135	-4065.39
136	-4055.47
137	-4029.53
138	-4009.69
139	-4027.24
140	-4040.21
141	-4033.34
142	-4040.21
143	-4056.23
144	-4047.84
145	-4045.55
146	-4046.31
147	-4035.63
148	-4036.39
149	-4058.52
150	-4060.04
151	-4052.41
152	-4037.16
153	-4036.39
154	-4060.04
155	-4058.52
156	-4052.41
157	-4056.23
158	-4044.78
159	-4042.5
160	-4060.04
161	-4073.02
162	-4071.49
163	-4049.36
164	-4043.26
165	-4045.55
166	-4033.34
167	-4034.1
168	-4063.86
169	-4071.49
170	-4050.89
171	-4047.84
172	-4061.57
173	-4063.1
174	-4061.57
175	-4059.28
176	-4057.75
177	-4052.41
178	-4053.18
179	-4052.41
180	-4076.83
181	-4069.96
182	-4041.73
183	-4034.1
184	-4036.39
185	-4033.34
186	-4031.81
187	-4022.66
188	-4015.79
189	-4024.19
190	-4024.95
191	-4049.36
192	-4054.7
193	-4045.55
194	-4062.33
195	-4056.99
196	-4058.52
197	-4046.31
198	-4034.1
199	-4031.81
200	-4034.1
201	-4037.16
202	-4050.12
203	-4052.41
204	-4048.6
205	-4067.67
206	-4090.56
207	-4098.96
208	-4085.99
209	-4058.52
210	-4031.05
211	-4010.45
212	-4012.74
213	-4025.71
214	-4032.58
215	-4033.34
216	-4011.22
217	-4011.22
218	-4036.39
219	-4030.29
220	-4024.19
221	-4037.16
222	-4033.34
223	-4032.58
224	-4033.34
225	-4034.87
226	-4040.21
227	-4036.39
228	-4029.53
229	-4019.61
230	-4010.45
231	-4019.61
232	-4044.78
