TimeOfDay	Time	Sig
13:35:06.141	0	-983.367
13:35:06.142	0.001	-982.341
13:35:06.143	0.002	-981.234
13:35:06.144	0.003	-980.041
13:35:06.145	0.004	-978.757
13:35:06.146	0.005	-977.376
13:35:06.147	0.006	-975.897
13:35:06.148	0.007	-974.326
13:35:06.149	0.008	-972.675
13:35:06.150	0.009	-970.962
13:35:06.151	0.01	-969.209
13:35:06.152	0.011	-967.443
13:35:06.153	0.012	-965.686
13:35:06.154	0.013	-963.95
13:35:06.155	0.014	-962.238
13:35:06.156	0.015	-960.542
13:35:06.157	0.016	-958.859
13:35:06.158	0.017	-957.202
13:35:06.159	0.018	-955.602
13:35:06.160	0.019	-954.105
13:35:06.161	0.02	-952.766
13:35:06.162	0.021	-951.645
13:35:06.163	0.022	-950.799
13:35:06.164	0.023	-950.275
13:35:06.165	0.024	-950.102
13:35:06.166	0.025	-950.285
13:35:06.167	0.026	-950.81
13:35:06.168	0.027	-951.647
13:35:06.169	0.028	-952.765
13:35:06.170	0.029	-954.139
13:35:06.171	0.03	-955.75
13:35:06.172	0.031	-957.585
13:35:06.173	0.032	-959.632
13:35:06.174	0.033	-961.881
13:35:06.175	0.034	-964.323
13:35:06.176	0.035	-966.948
13:35:06.177	0.036	-969.741
13:35:06.178	0.037	-972.675
13:35:06.179	0.038	-975.716
13:35:06.180	0.039	-978.826
13:35:06.181	0.04	-981.967
13:35:06.182	0.041	-985.107
13:35:06.183	0.042	-988.219
13:35:06.184	0.043	-991.276
13:35:06.185	0.044	-994.245
13:35:06.186	0.045	-997.095
13:35:06.187	0.046	-999.8
13:35:06.188	0.047	-1002.34
13:35:06.189	0.048	-1004.7
13:35:06.190	0.049	-1006.85
13:35:06.191	0.05	-1008.78
13:35:06.192	0.051	-1010.48
13:35:06.193	0.052	-1011.97
13:35:06.194	0.053	-1013.24
13:35:06.195	0.054	-1014.34
13:35:06.196	0.055	-1015.28
13:35:06.197	0.056	-1016.1
13:35:06.198	0.057	-1016.83
13:35:06.199	0.058	-1017.51
13:35:06.200	0.059	-1018.16
13:35:06.201	0.06	-1018.8
13:35:06.202	0.061	-1019.43
13:35:06.203	0.062	-1020.04
13:35:06.204	0.063	-1020.61
13:35:06.205	0.064	-1021.09
13:35:06.206	0.065	-1021.44
13:35:06.207	0.066	-1021.66
13:35:06.208	0.067	-1021.74
13:35:06.209	0.068	-1021.69
13:35:06.210	0.069	-1021.55
13:35:06.211	0.07	-1021.32
13:35:06.212	0.071	-1021.03
13:35:06.213	0.072	-1020.68
13:35:06.214	0.073	-1020.3
13:35:06.215	0.074	-1019.88
13:35:06.216	0.075	-1019.45
13:35:06.217	0.076	-1019
13:35:06.218	0.077	-1018.54
13:35:06.219	0.078	-1018.08
13:35:06.220	0.079	-1017.61
13:35:06.221	0.08	-1017.14
13:35:06.222	0.081	-1016.67
13:35:06.223	0.082	-1016.2
13:35:06.224	0.083	-1015.72
13:35:06.225	0.084	-1015.26
13:35:06.226	0.085	-1014.83
13:35:06.227	0.086	-1014.44
13:35:06.228	0.087	-1014.11
13:35:06.229	0.088	-1013.86
13:35:06.230	0.089	-1013.7
13:35:06.231	0.09	-1013.61
13:35:06.232	0.091	-1013.57
13:35:06.233	0.092	-1013.55
13:35:06.234	0.093	-1013.54
13:35:06.235	0.094	-1013.51
13:35:06.236	0.095	-1013.44
13:35:06.237	0.096	-1013.3
13:35:06.238	0.097	-1013.08
13:35:06.239	0.098	-1012.73
13:35:06.240	0.099	-1012.25
13:35:06.241	0.1	-1011.64
13:35:06.242	0.101	-1010.91
13:35:06.243	0.102	-1010.08
13:35:06.244	0.103	-1009.16
13:35:06.245	0.104	-1008.17
13:35:06.246	0.105	-1007.13
13:35:06.247	0.106	-1006.07
13:35:06.248	0.107	-1005
13:35:06.249	0.108	-1003.93
13:35:06.250	0.109	-1002.89
13:35:06.251	0.11	-1001.87
13:35:06.252	0.111	-1000.86
13:35:06.253	0.112	-999.87
13:35:06.254	0.113	-998.867
13:35:06.255	0.114	-997.827
13:35:06.256	0.115	-996.697
13:35:06.257	0.116	-995.395
13:35:06.258	0.117	-993.807
13:35:06.259	0.118	-991.798
13:35:06.260	0.119	-989.217
13:35:06.261	0.12	-985.906
13:35:06.262	0.121	-981.698
13:35:06.263	0.122	-976.433
13:35:06.264	0.123	-969.959
13:35:06.265	0.124	-962.147
13:35:06.266	0.125	-952.905
13:35:06.267	0.126	-942.179
13:35:06.268	0.127	-929.958
13:35:06.269	0.128	-916.272
13:35:06.270	0.129	-901.184
13:35:06.271	0.13	-884.789
13:35:06.272	0.131	-867.204
13:35:06.273	0.132	-848.566
13:35:06.274	0.133	-829.033
13:35:06.275	0.134	-808.783
13:35:06.276	0.135	-788.024
13:35:06.277	0.136	-766.989
13:35:06.278	0.137	-745.93
13:35:06.279	0.138	-725.115
13:35:06.280	0.139	-704.824
13:35:06.281	0.14	-685.34
13:35:06.282	0.141	-666.952
13:35:06.283	0.142	-649.953
13:35:06.284	0.143	-634.628
13:35:06.285	0.144	-621.246
13:35:06.286	0.145	-610.043
13:35:06.287	0.146	-601.22
13:35:06.288	0.147	-594.934
13:35:06.289	0.148	-591.304
13:35:06.290	0.149	-590.411	mark
13:35:06.291	0.15	-592.297
13:35:06.292	0.151	-596.965
13:35:06.293	0.152	-604.371
13:35:06.294	0.153	-614.434
13:35:06.295	0.154	-627.033
13:35:06.296	0.155	-642.019
13:35:06.297	0.156	-659.207
13:35:06.298	0.157	-678.372
13:35:06.299	0.158	-699.257
13:35:06.300	0.159	-721.575
13:35:06.301	0.16	-745.026
13:35:06.302	0.161	-769.301
13:35:06.303	0.162	-794.089
13:35:06.304	0.163	-819.076
13:35:06.305	0.164	-843.958
13:35:06.306	0.165	-868.437
13:35:06.307	0.166	-892.234
13:35:06.308	0.167	-915.09
13:35:06.309	0.168	-936.774
13:35:06.310	0.169	-957.091
13:35:06.311	0.17	-975.885
13:35:06.312	0.171	-993.034
13:35:06.313	0.172	-1008.45
13:35:06.314	0.173	-1022.05
13:35:06.315	0.174	-1033.83
13:35:06.316	0.175	-1043.77
13:35:06.317	0.176	-1051.9
13:35:06.318	0.177	-1058.28
13:35:06.319	0.178	-1062.99
13:35:06.320	0.179	-1066.13
13:35:06.321	0.18	-1067.79
13:35:06.322	0.181	-1068.13
13:35:06.323	0.182	-1067.29
13:35:06.324	0.183	-1065.41
13:35:06.325	0.184	-1062.66
13:35:06.326	0.185	-1059.14
13:35:06.327	0.186	-1054.98
13:35:06.328	0.187	-1050.29
13:35:06.329	0.188	-1045.16
13:35:06.330	0.189	-1039.69
13:35:06.331	0.19	-1033.93
13:35:06.332	0.191	-1027.96
13:35:06.333	0.192	-1021.85
13:35:06.334	0.193	-1015.67
13:35:06.335	0.194	-1009.47
13:35:06.336	0.195	-1003.34
13:35:06.337	0.196	-997.317
13:35:06.338	0.197	-991.452
13:35:06.339	0.198	-985.782
13:35:06.340	0.199	-980.332
13:35:06.341	0.2	-975.12
13:35:06.342	0.201	-970.144
13:35:06.343	0.202	-965.39
13:35:06.344	0.203	-960.83
13:35:06.345	0.204	-956.438
13:35:06.346	0.205	-952.195
13:35:06.347	0.206	-948.089
13:35:06.348	0.207	-944.112
13:35:06.349	0.208	-940.251
13:35:06.350	0.209	-936.492
13:35:06.351	0.21	-932.826
13:35:06.352	0.211	-929.257
13:35:06.353	0.212	-925.792
13:35:06.354	0.213	-922.445
13:35:06.355	0.214	-919.228
13:35:06.356	0.215	-916.151
13:35:06.357	0.216	-913.213
13:35:06.358	0.217	-910.412
13:35:06.359	0.218	-907.743
13:35:06.360	0.219	-905.214
13:35:06.361	0.22	-902.837
13:35:06.362	0.221	-900.63
13:35:06.363	0.222	-898.613
13:35:06.364	0.223	-896.799
13:35:06.365	0.224	-895.196
13:35:06.366	0.225	-893.8
13:35:06.367	0.226	-892.597
13:35:06.368	0.227	-891.563
13:35:06.369	0.228	-890.668
13:35:06.370	0.229	-889.876
13:35:06.371	0.23	-889.16
13:35:06.372	0.231	-888.499
13:35:06.373	0.232	-887.882
13:35:06.374	0.233	-887.302
13:35:06.375	0.234	-886.754
13:35:06.376	0.235	-886.234
13:35:06.377	0.236	-885.744
13:35:06.378	0.237	-885.278
13:35:06.379	0.238	-884.817
13:35:06.380	0.239	-884.339
13:35:06.381	0.24	-883.825
13:35:06.382	0.241	-883.271
13:35:06.383	0.242	-882.685
13:35:06.384	0.243	-882.079
13:35:06.385	0.244	-881.461
13:35:06.386	0.245	-880.83
13:35:06.387	0.246	-880.177
13:35:06.388	0.247	-879.49
13:35:06.389	0.248	-878.749
13:35:06.390	0.249	-877.938
13:35:06.391	0.25	-877.042
13:35:06.392	0.251	-876.056
13:35:06.393	0.252	-874.986
13:35:06.394	0.253	-873.846
13:35:06.395	0.254	-872.654
13:35:06.396	0.255	-871.429
13:35:06.397	0.256	-870.188
13:35:06.398	0.257	-868.946
13:35:06.399	0.258	-867.713
13:35:06.400	0.259	-866.501
13:35:06.401	0.26	-865.319
13:35:06.402	0.261	-864.175
13:35:06.403	0.262	-863.072
13:35:06.404	0.263	-862.002
13:35:06.405	0.264	-860.945
13:35:06.406	0.265	-859.878
13:35:06.407	0.266	-858.782
13:35:06.408	0.267	-857.651
13:35:06.409	0.268	-856.49
13:35:06.410	0.269	-855.308
13:35:06.411	0.27	-854.106
13:35:06.412	0.271	-852.885
13:35:06.413	0.272	-851.634
13:35:06.414	0.273	-850.338
13:35:06.415	0.274	-848.979
13:35:06.416	0.275	-847.542
13:35:06.417	0.276	-846.028
13:35:06.418	0.277	-844.445
13:35:06.419	0.278	-842.805
13:35:06.420	0.279	-841.112
13:35:06.421	0.28	-839.373
13:35:06.422	0.281	-837.598
13:35:06.423	0.282	-835.8
13:35:06.424	0.283	-833.991
13:35:06.425	0.284	-832.168
13:35:06.426	0.285	-830.32
13:35:06.427	0.286	-828.426
13:35:06.428	0.287	-826.463
13:35:06.429	0.288	-824.408
13:35:06.430	0.289	-822.24
13:35:06.431	0.29	-819.935
13:35:06.432	0.291	-817.471
13:35:06.433	0.292	-814.825
13:35:06.434	0.293	-811.98
13:35:06.435	0.294	-808.931
13:35:06.436	0.295	-805.687
13:35:06.437	0.296	-802.268
13:35:06.438	0.297	-798.704
13:35:06.439	0.298	-795.025
13:35:06.440	0.299	-791.258
13:35:06.441	0.3	-787.43
13:35:06.442	0.301	-783.572
13:35:06.443	0.302	-779.715
13:35:06.444	0.303	-775.902
13:35:06.445	0.304	-772.175
13:35:06.446	0.305	-768.568
13:35:06.447	0.306	-765.105
13:35:06.448	0.307	-761.793
13:35:06.449	0.308	-758.632
13:35:06.450	0.309	-755.612
13:35:06.451	0.31	-752.711
13:35:06.452	0.311	-749.9
13:35:06.453	0.312	-747.143
13:35:06.454	0.313	-744.409
13:35:06.455	0.314	-741.664
13:35:06.456	0.315	-738.872
13:35:06.457	0.316	-735.992
13:35:06.458	0.317	-732.979
13:35:06.459	0.318	-729.792
13:35:06.460	0.319	-726.396
13:35:06.461	0.32	-722.774
13:35:06.462	0.321	-718.93
13:35:06.463	0.322	-714.891
13:35:06.464	0.323	-710.696
13:35:06.465	0.324	-706.392
13:35:06.466	0.325	-702.018
13:35:06.467	0.326	-697.6
13:35:06.468	0.327	-693.146
13:35:06.469	0.328	-688.66
13:35:06.470	0.329	-684.139
13:35:06.471	0.33	-679.574
13:35:06.472	0.331	-674.949
13:35:06.473	0.332	-670.242
13:35:06.474	0.333	-665.439
13:35:06.475	0.334	-660.546
13:35:06.476	0.335	-655.58
13:35:06.477	0.336	-650.565
13:35:06.478	0.337	-645.522
13:35:06.479	0.338	-640.464
13:35:06.480	0.339	-635.398
13:35:06.481	0.34	-630.329
13:35:06.482	0.341	-625.257
13:35:06.483	0.342	-620.186
13:35:06.484	0.343	-615.125
13:35:06.485	0.344	-610.095
13:35:06.486	0.345	-605.124
13:35:06.487	0.346	-600.241
13:35:06.488	0.347	-595.473
13:35:06.489	0.348	-590.837
13:35:06.490	0.349	-586.346
13:35:06.491	0.35	-582.008
13:35:06.492	0.351	-577.834
13:35:06.493	0.352	-573.828
13:35:06.494	0.353	-569.995
13:35:06.495	0.354	-566.336
13:35:06.496	0.355	-562.858
13:35:06.497	0.356	-559.575
13:35:06.498	0.357	-556.513
13:35:06.499	0.358	-553.696
13:35:06.500	0.359	-551.148
13:35:06.501	0.36	-548.882
13:35:06.502	0.361	-546.907
13:35:06.503	0.362	-545.23
13:35:06.504	0.363	-543.863
13:35:06.505	0.364	-542.819
13:35:06.506	0.365	-542.108
13:35:06.507	0.366	-541.732
13:35:06.508	0.367	-541.688
13:35:06.509	0.368	-541.966
13:35:06.510	0.369	-542.558
13:35:06.511	0.37	-543.457
13:35:06.512	0.371	-544.652
13:35:06.513	0.372	-546.13
13:35:06.514	0.373	-547.873
13:35:06.515	0.374	-549.866
13:35:06.516	0.375	-552.102
13:35:06.517	0.376	-554.574
13:35:06.518	0.377	-557.276
13:35:06.519	0.378	-560.199
13:35:06.520	0.379	-563.334
13:35:06.521	0.38	-566.672
13:35:06.522	0.381	-570.203
13:35:06.523	0.382	-573.922
13:35:06.524	0.383	-577.826
13:35:06.525	0.384	-581.923
13:35:06.526	0.385	-586.222
13:35:06.527	0.386	-590.745
13:35:06.528	0.387	-595.523
13:35:06.529	0.388	-600.598
13:35:06.530	0.389	-606.002
13:35:06.531	0.39	-611.758
13:35:06.532	0.391	-617.877
13:35:06.533	0.392	-624.355
13:35:06.534	0.393	-631.179
13:35:06.535	0.394	-638.324
13:35:06.536	0.395	-645.753
13:35:06.537	0.396	-653.42
13:35:06.538	0.397	-661.273
13:35:06.539	0.398	-669.249
13:35:06.540	0.399	-677.289
13:35:06.541	0.4	-685.334
13:35:06.542	0.401	-693.343
13:35:06.543	0.402	-701.286
13:35:06.544	0.403	-709.143
13:35:06.545	0.404	-716.895
13:35:06.546	0.405	-724.511
13:35:06.547	0.406	-731.949
13:35:06.548	0.407	-739.164
13:35:06.549	0.408	-746.119
13:35:06.550	0.409	-752.785
13:35:06.551	0.41	-759.152
13:35:06.552	0.411	-765.227
13:35:06.553	0.412	-771.029
13:35:06.554	0.413	-776.58
13:35:06.555	0.414	-781.897
13:35:06.556	0.415	-786.995
13:35:06.557	0.416	-791.888
13:35:06.558	0.417	-796.587
13:35:06.559	0.418	-801.102
13:35:06.560	0.419	-805.45
13:35:06.561	0.42	-809.659
13:35:06.562	0.421	-813.764
13:35:06.563	0.422	-817.799
13:35:06.564	0.423	-821.792
13:35:06.565	0.424	-825.769
13:35:06.566	0.425	-829.746
13:35:06.567	0.426	-833.737
13:35:06.568	0.427	-837.74
13:35:06.569	0.428	-841.742
13:35:06.570	0.429	-845.722
13:35:06.571	0.43	-849.656
13:35:06.572	0.431	-853.535
13:35:06.573	0.432	-857.365
13:35:06.574	0.433	-861.156
13:35:06.575	0.434	-864.921
13:35:06.576	0.435	-868.653
13:35:06.577	0.436	-872.332
13:35:06.578	0.437	-875.927
13:35:06.579	0.438	-879.406
13:35:06.580	0.439	-882.743
13:35:06.581	0.44	-885.926
13:35:06.582	0.441	-888.949
13:35:06.583	0.442	-891.817
13:35:06.584	0.443	-894.541
13:35:06.585	0.444	-897.131
13:35:06.586	0.445	-899.592
13:35:06.587	0.446	-901.923
13:35:06.588	0.447	-904.12
13:35:06.589	0.448	-906.176
13:35:06.590	0.449	-908.086
13:35:06.591	0.45	-909.842
13:35:06.592	0.451	-911.431
13:35:06.593	0.452	-912.841
13:35:06.594	0.453	-914.054
13:35:06.595	0.454	-915.051
13:35:06.596	0.455	-915.812
13:35:06.597	0.456	-916.329
13:35:06.598	0.457	-916.605
13:35:06.599	0.458	-916.657
13:35:06.600	0.459	-916.501
13:35:06.601	0.46	-916.159
13:35:06.602	0.461	-915.658
13:35:06.603	0.462	-915.035
13:35:06.604	0.463	-914.33
13:35:06.605	0.464	-913.591
13:35:06.606	0.465	-912.858
13:35:06.607	0.466	-912.162
13:35:06.608	0.467	-911.516
13:35:06.609	0.468	-910.92
13:35:06.610	0.469	-910.369
13:35:06.611	0.47	-909.862
13:35:06.612	0.471	-909.395
13:35:06.613	0.472	-908.964
13:35:06.614	0.473	-908.562
13:35:06.615	0.474	-908.182
13:35:06.616	0.475	-907.819
13:35:06.617	0.476	-907.472
13:35:06.618	0.477	-907.147
13:35:06.619	0.478	-906.852
13:35:06.620	0.479	-906.595
13:35:06.621	0.48	-906.381
13:35:06.622	0.481	-906.215
13:35:06.623	0.482	-906.096
13:35:06.624	0.483	-906.021
13:35:06.625	0.484	-905.985
13:35:06.626	0.485	-905.991
13:35:06.627	0.486	-906.052
13:35:06.628	0.487	-906.188
13:35:06.629	0.488	-906.417
13:35:06.630	0.489	-906.741
13:35:06.631	0.49	-907.139
13:35:06.632	0.491	-907.565
13:35:06.633	0.492	-907.963
13:35:06.634	0.493	-908.275
13:35:06.635	0.494	-908.451
13:35:06.636	0.495	-908.447
13:35:06.637	0.496	-908.234
13:35:06.638	0.497	-907.801
13:35:06.639	0.498	-907.148
13:35:06.640	0.499	-906.281
13:35:06.641	0.5	-905.208
13:35:06.642	0.501	-903.949
13:35:06.643	0.502	-902.533
13:35:06.644	0.503	-900.997
13:35:06.645	0.504	-899.374
13:35:06.646	0.505	-897.691
13:35:06.647	0.506	-895.973
13:35:06.648	0.507	-894.249
13:35:06.649	0.508	-892.554
13:35:06.650	0.509	-890.923
13:35:06.651	0.51	-889.393
13:35:06.652	0.511	-887.988
13:35:06.653	0.512	-886.721
13:35:06.654	0.513	-885.594
13:35:06.655	0.514	-884.595
13:35:06.656	0.515	-883.708
13:35:06.657	0.516	-882.919
13:35:06.658	0.517	-882.22
13:35:06.659	0.518	-881.6
13:35:06.660	0.519	-881.05
13:35:06.661	0.52	-880.552
13:35:06.662	0.521	-880.085
13:35:06.663	0.522	-879.623
